Model,# Différentes,# Features,# Similaires (p > 0.05),CB Diff (%),Diversity Gap (%),Feature,Jensen-Shannon Divergence,KS P-value,KS Statistic,Mean (synth),PD (%),TSTR MLP Accuracy,TSTR MLP F1-score,TSTR RF Accuracy,TSTR RF F1-score,Variance (synth),Vendi Gap (%),Vendi Score (real),Vendi Score (synth),Wasserstein Distance
cluster_vae_df_e40_k40_eps_1pt5,68.0,78.0,10.0,0.0001908784338427,72.17299580678626,GLOBAL,0.0066909398967914,0.1284163199216491,0.1397654134880355,1628310.4297238924,87.17948717948718,0.9085179339504432,0.8980615246306267,0.9829011873455114,0.975996011665744,106829774007075.08,8.992754122728398,2736.290838343157,2982.3587455181005,300343.2185399198
cluster_vae_df_e40_k40_eps_1pt75,68.0,78.0,10.0,0.0001908784338427,105.1820999017798,GLOBAL,0.0073382695481555,0.1282163581422294,0.1510942098874697,1689006.93598119,87.17948717948718,0.8877885999271539,0.889199160797604,0.9830261338601518,0.9761240124090882,109405471823774.94,8.784413702467333,2736.290838343157,2976.6579456859317,371407.136358919
cluster_vae_df_e40_k40_eps_2,68.0,78.0,10.0,0.0001908784338427,138.95354327528253,GLOBAL,0.0080428714597413,0.1282052975916483,0.1593842173423181,1724459.6207537632,87.17948717948718,0.9218695299064198,0.9113520280086018,0.9830414574893058,0.9761325658885308,111413654730163.2,9.014652339574257,2736.290838343157,2982.957944419414,418329.17030170985
cluster_vae_df_e40_k40_eps_2pt5,68.0,78.0,10.0,0.0001908784338427,220.8247828489133,GLOBAL,0.0095411914894468,0.1282048724591987,0.1704396120426618,1755637.3473996068,87.17948717948718,0.8544597065171394,0.789975985888137,0.9824886280990568,0.97559173592308,114965227422718.36,9.451314622806947,2736.290838343157,2994.9062944700104,476550.2025032193
cluster_vae_df_e40_k40_eps_3,68.0,78.0,10.0,0.0001908784338427,307.16059291208336,GLOBAL,0.010860588413548,0.1281875144462343,0.1781407887924821,1754485.6762924634,87.17948717948718,0.8916925891393189,0.8663666520787251,0.9823848989170908,0.975487268774626,115739323730904.36,9.471680178260891,2736.290838343157,2995.4635552980744,539295.718183587
cluster_vae_df_e40_k40_eps_5,68.0,78.0,10.0,0.0001908784338427,519.1216106055124,GLOBAL,0.0141258225392367,0.1282050570035421,0.1870434074561246,1715476.00942639,87.17948717948718,0.8031797709235315,0.7155196933202995,0.979855321365972,0.9729855835868352,109082818029868.95,9.637468276797238,2736.290838343157,2999.999999849388,661814.2557559999
cluster_vae_df_e40_k60_eps_0pt5,66.0,78.0,12.0,0.0001908784338427,-51.919597799483554,GLOBAL,0.0152413650628548,0.1346181352011315,0.1479808586416225,993387.8611194644,84.61538461538461,0.9279329720885988,0.9213894032849372,0.9819039727097952,0.9750123447062417,70531808569712.25,8.927765785180494,2736.290838343157,2980.5804755917857,471246.069600157
cluster_vae_df_e40_k60_eps_1pt0,66.0,78.0,12.0,0.0001908784338427,25.09974297466531,GLOBAL,0.007287129609701,0.1538898118968315,0.1159106523287301,1533607.8354687404,84.61538461538461,0.9205705576504396,0.9102515755732364,0.9828292841625578,0.975927070845091,114478039098320.05,8.569137052486655,2736.290838343157,2970.767350435418,216215.83911010812
cluster_vae_df_e40_k60_eps_1pt25,66.0,78.0,12.0,0.0001908784338427,81.94949894138941,GLOBAL,0.0073208234792429,0.1538461538461538,0.1241006753166251,1808742.111900852,84.61538461538461,0.927186829222868,0.917464811816301,0.9828257479404452,0.9759225946576012,130047182155584.08,8.73062037318253,2736.290838343157,2975.1860037450715,462356.4853637095
cluster_vae_df_e40_k60_eps_1pt5,66.0,78.0,12.0,0.0001908784338427,153.1712282250612,GLOBAL,0.0080899927665681,0.1538461538461538,0.1336800155231982,2054193.107120374,84.61538461538461,0.9178735989193304,0.9141693056915968,0.9827656321645334,0.9758615116268332,139758342154038.48,8.872852870780504,2736.290838343157,2979.0778985459915,710676.8481929033
cluster_vae_df_e40_k60_eps_1pt75,66.0,78.0,12.0,0.0001908784338427,234.7259436154985,GLOBAL,0.0089370055274209,0.1538461538461538,0.1426370246483174,2257277.1751137497,84.61538461538461,0.9138210883784418,0.9040425302504752,0.9828127817926996,0.9759119898168128,148636465735759.53,9.339029178712876,2736.290838343157,2991.833838150472,917571.200643965
cluster_vae_df_e40_k60_eps_2,66.0,78.0,12.0,0.0001908784338427,316.98360829084004,GLOBAL,0.0100907965844561,0.1538461538461538,0.150186107202302,2422204.2108514416,84.61538461538461,0.8998258999979961,0.9002400156692618,0.9826607242418636,0.9757596202312452,155288569397757.56,9.371784904292069,2736.290838343157,2992.730130068528,1085900.5083462214
cluster_vae_df_e40_k60_eps_2pt5,66.0,78.0,12.0,0.0001908784338427,481.9607587585929,GLOBAL,0.0121046666707951,0.1538377238615384,0.1635110197170204,2651408.811368907,84.61538461538461,0.9142430775505296,0.9096488675929888,0.982633613205668,0.9757325551269914,166139057413091.5,9.515733182810967,2736.290838343157,2996.668973625593,1319069.9622581117
cluster_vae_df_e40_k60_eps_3,66.0,78.0,12.0,0.0001908784338427,627.3832838575827,GLOBAL,0.0140505978528209,0.1505873303484514,0.1738349431246005,2761920.148335398,84.61538461538461,0.8690242266576925,0.8608559779723775,0.9823271406225872,0.9754315239941173,171255519130365.5,9.582369216784551,2736.290838343157,2998.492329318248,1433284.2403226944
cluster_vae_df_e40_k60_eps_5,66.0,78.0,12.0,0.0001908784338427,960.7822660425676,GLOBAL,0.020627346694479,0.1523538915327644,0.2013488851402975,2467385.6850730428,84.61538461538461,0.8385360983446944,0.7745868674909003,0.9796561141869696,0.9727774831446884,162212891785097.56,9.637468282301205,2736.290838343157,2999.9999999999923,1146661.0746810643
cluster_vae_df_eps_0pt5,66.0,78.0,12.0,0.0001908784338427,-54.73582859565349,GLOBAL,0.0183946472230718,0.1450415848960012,0.1733593286094269,974118.833179344,84.61538461538461,0.8723742077389042,0.8621927030889616,0.8938331822580664,0.8617707436895764,86227909851419.95,9.636586226816732,2736.290838343157,2999.975864396581,526983.9023918479
cluster_vae_df_eps_1pt0,66.0,78.0,12.0,0.0001908784338427,-7.472868469503498,GLOBAL,0.0082259356465715,0.1507441952202927,0.1297723176597929,1235723.4713855314,84.61538461538461,0.8845388118057954,0.8752035495366589,0.9172488663461278,0.8868695123466243,93347358334412.86,9.612276237492338,2736.290838343157,2999.310672385896,163126.08033201678
cluster_vae_df_eps_1pt25,66.0,78.0,12.0,0.0001908784338427,9.614565437979037,GLOBAL,0.0069487012624852,0.1397910540188952,0.1267250505238399,1350520.9324554466,84.61538461538461,0.8925271375578614,0.8846533831999971,0.924355494051485,0.8976372327989706,97093048547915.62,9.610696649563303,2736.290838343157,2999.2674502661102,91666.94758447894
cluster_vae_df_eps_1pt5,68.0,78.0,10.0,0.0001908784338427,25.157315318328703,GLOBAL,0.0064250452504254,0.1253415101388688,0.1304313452842456,1433036.821744466,87.17948717948718,0.8827400534912532,0.8681163771856371,0.9492422465383332,0.9413052028025826,99246912857330.77,9.614107597745706,2736.290838343157,2999.360783728726,153738.9051833934
cluster_vae_df_eps_1pt75,68.0,78.0,10.0,0.0001908784338427,44.756283225940834,GLOBAL,0.0062157915558979,0.1224611498874034,0.1339720327117046,1490268.327519979,87.17948717948718,0.858473318614791,0.8402212150435443,0.950019036662372,0.9424019532041672,101680270965241.58,9.598071497768624,2736.290838343157,2998.9219893942254,232460.15736681092
cluster_vae_df_eps_2pt0,68.0,78.0,10.0,0.0001908784338427,70.89651551038969,GLOBAL,0.0062471068258529,0.1205592061387563,0.136790136293344,1528574.7677828015,87.17948717948718,0.8790034454590783,0.8738000521295887,0.9486611273711842,0.94083485128723,103466279693607.34,9.579194415199732,2736.290838343157,2998.4054575133464,299330.8485033168
cluster_vae_df_eps_2pt5,68.0,78.0,10.0,0.0001908784338427,142.10306774616654,GLOBAL,0.0066885602966793,0.1193347154804843,0.1423926646052398,1565092.7858968186,87.17948717948718,0.8573311188724638,0.8422257582119831,0.973724690963656,0.971309534943908,105165520517549.28,9.623031839917555,2736.290838343157,2999.604976949666,404474.81841120246
cluster_vae_df_eps_3,68.0,78.0,10.0,0.0001908784338427,229.5988089511101,GLOBAL,0.0072938204972035,0.1236437586308317,0.1458966827977453,1578514.33985082,87.17948717948718,0.8704363580212715,0.8512864621853059,0.9674113557521956,0.96528678398983,106424833796357.84,9.60687697946199,2736.290838343157,2999.162932983073,485897.1467694524
cluster_vae_df_eps_5,68.0,78.0,10.0,0.0001908784338427,529.7797399171719,GLOBAL,0.0099883253558353,0.1281884590076026,0.1612807970428123,1587681.859178078,87.17948717948718,0.8396853705312467,0.7762126103358864,0.9609836826924324,0.9589869688257628,108332199462732.16,9.562448338811825,2736.290838343157,2997.947236159362,681572.5669944294
gmvae_df_eps_0pt5,66.0,78.0,12.0,0.0,-84.52193575910738,GLOBAL,0.0436223226502429,0.1538460662379627,0.3023283425802843,674828.783635074,84.61538461538461,0.384067904894485,0.4474960435394473,0.5744946443916107,0.6589429846983615,52364190851628.12,-95.39849769210667,2736.290838343157,125.91048607703368,717123.2144192428
gmvae_df_eps_1pt0,66.0,78.0,12.0,0.0,-52.40895596817116,GLOBAL,0.0429349834488679,0.1538460662379627,0.2485535261383636,798957.9268001369,84.61538461538461,0.7979803456774989,0.7135542177983966,0.6468893622187672,0.7251731481725037,61270992368572.36,-85.22007109753655,2736.290838343157,404.42184047174,590226.71304613
gmvae_df_eps_1pt25,66.0,78.0,12.0,0.0,-26.233977799860583,GLOBAL,0.0442049253949592,0.1538460662379627,0.2316141704396352,966736.6520284836,84.61538461538461,0.7121774523405665,0.719501730753931,0.7293281295860381,0.7928236219479652,73687967170329.14,-77.32500905084127,2736.290838343157,620.4536999369705,507863.3360255702
gmvae_df_eps_1pt5,66.0,78.0,12.0,0.0,-0.8305680079224977,GLOBAL,0.0451445430333037,0.1538460662379627,0.2230994896196623,1133710.563299474,84.61538461538461,0.6995708205096167,0.7087189671990941,0.8191116302809057,0.8528043668503905,84984489298590.89,-68.27354298533183,2736.290838343157,868.1281366232446,516635.57459144027
gmvae_df_eps_1pt75,66.0,78.0,12.0,0.0,28.1235903145518,GLOBAL,0.0453893445241145,0.1538460662379627,0.2176628415252386,1285664.4757934478,84.61538461538461,0.7228485919352918,0.7015721855315722,0.8834343317660011,0.8970203507044208,94053081739623.4,-56.97686215077103,2736.290838343157,1177.2381793361997,627803.8063424256
gmvae_df_eps_2pt0,66.0,78.0,12.0,0.0,63.046359856700285,GLOBAL,0.0449083893142304,0.1538460662379627,0.2156628444992928,1419625.4253103149,84.61538461538461,0.7305009765866733,0.7014051282495531,0.8819950893662265,0.8896269500182451,100969292021603.3,-45.05349088864166,2736.290838343157,1503.496294803486,751171.9234660632
gmvae_df_eps_2pt5,66.0,78.0,12.0,0.0,146.05409033710154,GLOBAL,0.0424463308782951,0.1538460662379627,0.2147160570744208,1636099.3067882163,84.61538461538461,0.7760805221349824,0.7280991192008555,0.8930434259862818,0.8960991438798466,109905101044920.69,-24.08485049940743,2736.290838343157,2077.259280699225,940016.939862923
gmvae_df_eps_3,66.0,78.0,12.0,0.0,225.2283397840486,GLOBAL,0.0392554631328934,0.1538460662379627,0.2136457375946306,1789712.1136034466,84.61538461538461,0.7991779462329215,0.7136013144247494,0.8848688592029591,0.8851022120395563,114456742010710.14,-11.554933916234068,2736.290838343157,2420.114240216638,1064200.63184781
gmvae_df_eps_5,66.0,78.0,12.0,0.0,402.2672393072573,GLOBAL,0.0294757706798393,0.1538460699294554,0.2089394782152527,2041393.817467084,84.61538461538461,0.8031892008491648,0.7155243521388892,0.8624881094531468,0.8349335956114519,117075566245739.69,0.6527882392094777,2736.290838343157,2754.153023126428,1262647.9992173782
synthetic_df_copulagan_cic,70.0,78.0,8.0,3.422799134259131,41.309800934240535,GLOBAL,0.0099029765793132,0.1025641025641025,0.1474647800999061,1459906.9905012224,89.74358974358974,0.8681967506833749,0.838533813770563,0.9666168845175944,0.9588223822978826,95380271251637.69,9.637468282301205,2736.290838343157,2999.9999999999923,247128.609185678
synthetic_df_ctgan_cic,70.0,78.0,8.0,3.9858669191132825,10.189792611529636,GLOBAL,0.0062166969804874,0.1025641025641025,0.2039179806448713,1432608.4698112255,89.74358974358974,0.8581904208457936,0.8368119113324684,0.9735808845977488,0.9667652442897546,91094973996755.16,9.637468282301205,2736.290838343157,2999.9999999999923,190761.6886607304
synthetic_df_smote_cic,63.0,78.0,15.0,0.0001908784338427,2.011591234294328,GLOBAL,0.0027614529287066,0.1927415317966959,0.0902295829200172,1460210.6465076013,80.76923076923077,0.8940029209194649,0.896490543214285,0.9981057636884212,0.9981204804683944,102115009297624.86,9.472160055897852,2736.290838343157,2995.4766861458897,120896.28365208545
synthetic_df_tvae_cic,66.0,78.0,12.0,20.24580395661741,-2.569959752796824,GLOBAL,0.0066941102164632,0.1538461515174264,0.196071646423034,568324.3032824846,84.61538461538461,0.8554687085598971,0.8101858360181601,0.9601856752357186,0.9520141384728978,32123692856358.78,9.637468282301205,2736.290838343157,2999.9999999999923,791616.2548561952
